exposure_us,filename,mean,std,contrast,roi_max,saturated,roi_top,roi_left,roi_size
10,frame_00_0000000010us.png,1545.105778,516.218494,0.334099,5760,0,1299,1293,300
30,frame_01_0000000030us.png,1688.856178,536.689033,0.317783,6016,0,1299,1293,300
60,frame_02_0000000060us.png,1818.002489,573.236140,0.315311,7168,0,1299,1293,300
100,frame_03_0000000100us.png,1975.155200,607.823659,0.307735,7168,0,1299,1293,300
300,frame_04_0000000300us.png,2806.566400,770.215725,0.274433,10048,0,1299,1293,300
600,frame_05_0000000600us.png,4007.689956,999.156378,0.249310,12032,0,1299,1293,300
1000,frame_06_0000001000us.png,5706.271289,1285.432559,0.225267,15744,0,1299,1293,300
3000,frame_07_0000003000us.png,14076.263111,2132.332695,0.151484,27520,0,1299,1293,300
6000,frame_08_0000006000us.png,26678.221511,3125.720295,0.117164,51520,0,1299,1293,300
10000,frame_09_0000010000us.png,43441.131378,4202.185109,0.096733,65408,1,1299,1293,300
